"","aoi_id","aoi_name","section_id","recording_id","fixation_id","fixation_duration.ms","folder"
"883","a67dec77-c24a-48d6-aa63-af13d36756cc","face","c4162a91-ff59-453c-be12-c56247cb8dad","8dbbf9fe-30c5-49ca-918d-902bec90f8ed","56","25480","19-mN_csv"
"884","a67dec77-c24a-48d6-aa63-af13d36756cc","face","d402aebf-70f6-456e-9c4f-1bcbe6e6012f","8fecd5d3-09af-4f40-95bc-1c76b4adf438","245","676","19-mN_csv"
"885","a67dec77-c24a-48d6-aa63-af13d36756cc","face","d402aebf-70f6-456e-9c4f-1bcbe6e6012f","8fecd5d3-09af-4f40-95bc-1c76b4adf438","246","392","19-mN_csv"
"886","a67dec77-c24a-48d6-aa63-af13d36756cc","face","d402aebf-70f6-456e-9c4f-1bcbe6e6012f","8fecd5d3-09af-4f40-95bc-1c76b4adf438","249","388","19-mN_csv"
"887","55dd6055-dfb5-42f8-a8ab-04652cefe403","hands","d402aebf-70f6-456e-9c4f-1bcbe6e6012f","8fecd5d3-09af-4f40-95bc-1c76b4adf438","247","400","19-mN_csv"
"888","55dd6055-dfb5-42f8-a8ab-04652cefe403","hands","d402aebf-70f6-456e-9c4f-1bcbe6e6012f","8fecd5d3-09af-4f40-95bc-1c76b4adf438","248","608","19-mN_csv"
"889","a67dec77-c24a-48d6-aa63-af13d36756cc","face","8df282e2-7ef9-4717-82e3-89e0917390f7","a0a49152-c90b-4e5d-bb89-a29782681145","125","3128","19-mN_csv"
"890","a67dec77-c24a-48d6-aa63-af13d36756cc","face","8df282e2-7ef9-4717-82e3-89e0917390f7","a0a49152-c90b-4e5d-bb89-a29782681145","126","748","19-mN_csv"
"891","a67dec77-c24a-48d6-aa63-af13d36756cc","face","3b2a2680-d2fd-4ac4-832d-5ef9be29dad1","a92229a7-2f88-4b32-ba22-2ef9c7466682","53","5800","19-mN_csv"
"892","a67dec77-c24a-48d6-aa63-af13d36756cc","face","554bc156-fdc4-4058-85b7-af65b2e99a90","b6047184-9e37-49bf-bb76-ce99f6eb1ec7","106","1096","19-mN_csv"
"893","a67dec77-c24a-48d6-aa63-af13d36756cc","face","554bc156-fdc4-4058-85b7-af65b2e99a90","b6047184-9e37-49bf-bb76-ce99f6eb1ec7","107","1272","19-mN_csv"
"894","a67dec77-c24a-48d6-aa63-af13d36756cc","face","8dc60606-ac7d-4c81-aea7-d276cd795f8f","b6ca3931-cd61-4af4-9eee-e9ee21c69215","120","956","19-mN_csv"
"895","a67dec77-c24a-48d6-aa63-af13d36756cc","face","8dc60606-ac7d-4c81-aea7-d276cd795f8f","b6ca3931-cd61-4af4-9eee-e9ee21c69215","122","724","19-mN_csv"
"896","a67dec77-c24a-48d6-aa63-af13d36756cc","face","8dc60606-ac7d-4c81-aea7-d276cd795f8f","b6ca3931-cd61-4af4-9eee-e9ee21c69215","123","1760","19-mN_csv"
"897","55dd6055-dfb5-42f8-a8ab-04652cefe403","hands","8dc60606-ac7d-4c81-aea7-d276cd795f8f","b6ca3931-cd61-4af4-9eee-e9ee21c69215","121","308","19-mN_csv"
"898","a67dec77-c24a-48d6-aa63-af13d36756cc","face","228e1875-8aee-471d-82f6-26b4de4c3398","badefb46-f4fc-44df-bfa7-2e1fc7e4ae3d","39","3372","19-mN_csv"
"899","a67dec77-c24a-48d6-aa63-af13d36756cc","face","84abe357-2736-4d07-b876-665611b33fad","cb62fc54-6be6-4658-817a-9f0491b6e1bd","124","1024","19-mN_csv"
"900","a67dec77-c24a-48d6-aa63-af13d36756cc","face","84abe357-2736-4d07-b876-665611b33fad","cb62fc54-6be6-4658-817a-9f0491b6e1bd","126","832","19-mN_csv"
"901","55dd6055-dfb5-42f8-a8ab-04652cefe403","hands","84abe357-2736-4d07-b876-665611b33fad","cb62fc54-6be6-4658-817a-9f0491b6e1bd","125","224","19-mN_csv"
"902","a67dec77-c24a-48d6-aa63-af13d36756cc","face","3c18859e-b65a-4f7a-a46c-361d3bf47c6f","d34232d4-8572-40a7-a844-601d735c40ce","101","2560","19-mN_csv"
"903","a67dec77-c24a-48d6-aa63-af13d36756cc","face","3c18859e-b65a-4f7a-a46c-361d3bf47c6f","d34232d4-8572-40a7-a844-601d735c40ce","102","1280","19-mN_csv"
"904","a67dec77-c24a-48d6-aa63-af13d36756cc","face","6fbddf70-5ccc-4d0c-bb28-97188b277cea","e4319678-12fa-4106-b1ef-19fb72a96880","63","6320","19-mN_csv"
"905","a67dec77-c24a-48d6-aa63-af13d36756cc","face","6fbddf70-5ccc-4d0c-bb28-97188b277cea","e4319678-12fa-4106-b1ef-19fb72a96880","65","12212","19-mN_csv"
"906","a67dec77-c24a-48d6-aa63-af13d36756cc","face","a36a1d5f-4ed7-4778-ad43-aad605c477a9","e9ced595-7be7-4605-85f7-ba04518e0f0b","133","3552","19-mN_csv"
"907","a67dec77-c24a-48d6-aa63-af13d36756cc","face","c6506b4c-d9d9-40bd-896b-3815265be443","eb81676a-2955-455d-8436-8d83246dd543","54","1252","19-mN_csv"
"908","a67dec77-c24a-48d6-aa63-af13d36756cc","face","c6506b4c-d9d9-40bd-896b-3815265be443","eb81676a-2955-455d-8436-8d83246dd543","56","1000","19-mN_csv"
"909","55dd6055-dfb5-42f8-a8ab-04652cefe403","hands","c6506b4c-d9d9-40bd-896b-3815265be443","eb81676a-2955-455d-8436-8d83246dd543","55","508","19-mN_csv"
"910","a67dec77-c24a-48d6-aa63-af13d36756cc","face","0007eefe-2d34-44d1-b1ff-feabeaef20d7","fc54a15e-da2d-4b02-97e4-7e2d945a18f9","87","2716","19-mN_csv"
"911","74fd9f34-01ee-4b14-b467-45bb3b886cc6","face","1d650d85-07ab-48a1-a18d-d9b90c892624","c72918b2-d44b-49a7-8fec-497a537031a9","158","1256","20-sY_csv"
"912","74fd9f34-01ee-4b14-b467-45bb3b886cc6","face","4b6ea10a-abda-48cd-8a67-c90dfcf633ba","75628abf-e24a-4c66-a8b7-72b986bed632","224","1436","20-sY_csv"
"913","74fd9f34-01ee-4b14-b467-45bb3b886cc6","face","8f5cad65-c8f1-4f75-883c-7995d3c099fd","5ac97dae-915d-4ebe-bf09-6dd8a6e1237e","90","432","20-sY_csv"
"914","74fd9f34-01ee-4b14-b467-45bb3b886cc6","face","0657ef21-8af1-4f26-9cdd-cb67b2badf75","bda32afb-bb0e-47d2-9a00-580011782b8f","186","1524","20-sY_csv"
"915","74fd9f34-01ee-4b14-b467-45bb3b886cc6","face","fbc2268c-eeb8-4614-8f9e-d252158a6673","ac37ef44-bbd6-408d-88f6-70d72dba0f61","108","299","20-sY_csv"
"916","74fd9f34-01ee-4b14-b467-45bb3b886cc6","face","fbc2268c-eeb8-4614-8f9e-d252158a6673","ac37ef44-bbd6-408d-88f6-70d72dba0f61","110","124","20-sY_csv"
"917","3f006490-cf85-4b8a-afb1-f216a3fdb1b7","hands","fbc2268c-eeb8-4614-8f9e-d252158a6673","ac37ef44-bbd6-408d-88f6-70d72dba0f61","109","260","20-sY_csv"
"918","74fd9f34-01ee-4b14-b467-45bb3b886cc6","face","4e8b340b-4ecb-4d67-9930-a62d097a870c","f9aa1034-d3ff-4dba-843c-a258af650bac","115","8304","20-sY_csv"
"919","74fd9f34-01ee-4b14-b467-45bb3b886cc6","face","6ea2e43d-d43a-487f-8145-8aeb22b6d26a","edfd72ca-9589-4a04-9486-9a2fcfa47ffe","63","13264","20-sY_csv"
"920","74fd9f34-01ee-4b14-b467-45bb3b886cc6","face","754b26fd-9c09-4d57-a61e-7b33aaaeba37","9f24e973-c285-426a-bb25-b3fa4b54fe87","139","776","20-sY_csv"
"921","74fd9f34-01ee-4b14-b467-45bb3b886cc6","face","754b26fd-9c09-4d57-a61e-7b33aaaeba37","9f24e973-c285-426a-bb25-b3fa4b54fe87","140","676","20-sY_csv"
"922","74fd9f34-01ee-4b14-b467-45bb3b886cc6","face","bf96eea3-6e1a-43d4-a42d-127b5237865d","2f0303ee-c900-494b-b4e9-29fd3dacbbbd","52","1940","20-sY_csv"
"923","74fd9f34-01ee-4b14-b467-45bb3b886cc6","face","bf96eea3-6e1a-43d4-a42d-127b5237865d","2f0303ee-c900-494b-b4e9-29fd3dacbbbd","53","1864","20-sY_csv"
"924","74fd9f34-01ee-4b14-b467-45bb3b886cc6","face","a48b926e-59ea-42b9-81ec-9495c6b97f7b","00598c81-108a-4a39-9256-7e431145ca7b","190","636","20-sY_csv"
