"","section id","recording id","fixation id","start timestamp [ns]","end timestamp [ns]","duration [ms]","fixation status","fixation x [px]","fixation y [px]","gesture_id","gesture_type","gesture_match","folder"
"68","dfbae094-496b-45ec-9eeb-bd97be892c3a","00598c81-108a-4a39-9256-7e431145ca7b",27,1744960984867565056,1744960985523565056,656,"true",1020,339,"02","s","N","02-sN_csv"
"69","dfbae094-496b-45ec-9eeb-bd97be892c3a","00598c81-108a-4a39-9256-7e431145ca7b",28,1744960985663594240,1744960985903626240,240,"true",1020,387,"02","s","N","02-sN_csv"
"70","dfbae094-496b-45ec-9eeb-bd97be892c3a","00598c81-108a-4a39-9256-7e431145ca7b",29,1744960986079633408,1744960986359561216,280,"true",1029,393,"02","s","N","02-sN_csv"
"71","dfbae094-496b-45ec-9eeb-bd97be892c3a","00598c81-108a-4a39-9256-7e431145ca7b",30,1744960986499808000,1744960986927692288,428,"true",1034,333,"02","s","N","02-sN_csv"
"72","4529c92c-aa18-4681-8b06-8d7217c96242","34b59526-a8ca-4be9-a6a8-b46490bf9c98",25,1745331369171578880,1745331384102180864,14931,"true",991,479,"02","s","N","02-sN_csv"
"73","0d5808af-77cb-4f3b-904c-af5f6b50199b","7fe66918-fc48-4435-9aa2-fbdd31ecc621",23,1745071653035968000,1745071657858519040,4823,"true",994,485,"02","s","N","02-sN_csv"
"74","3a915fb8-2c73-4f25-846e-7230d8303397","8dbbf9fe-30c5-49ca-918d-902bec90f8ed",29,1745331853493656576,1745331865431342336,11938,"true",1003,608,"02","s","N","02-sN_csv"
"75","d3e7492e-9ba4-47c4-a30c-5e7c04189fca","8fecd5d3-09af-4f40-95bc-1c76b4adf438",57,1745328640448261632,1745328640688065536,240,"true",960,470,"02","s","N","02-sN_csv"
"76","d3e7492e-9ba4-47c4-a30c-5e7c04189fca","8fecd5d3-09af-4f40-95bc-1c76b4adf438",58,1745328640740042496,1745328641084553728,345,"true",714,313,"02","s","N","02-sN_csv"
"77","d3e7492e-9ba4-47c4-a30c-5e7c04189fca","8fecd5d3-09af-4f40-95bc-1c76b4adf438",59,1745328641132129536,1745328641428097536,296,"true",963,384,"02","s","N","02-sN_csv"
"78","d3e7492e-9ba4-47c4-a30c-5e7c04189fca","8fecd5d3-09af-4f40-95bc-1c76b4adf438",60,1745328641456176640,1745328641712179456,256,"true",1037,467,"02","s","N","02-sN_csv"
"79","d3e7492e-9ba4-47c4-a30c-5e7c04189fca","8fecd5d3-09af-4f40-95bc-1c76b4adf438",61,1745328641872069632,1745328642204069888,332,"true",980,522,"02","s","N","02-sN_csv"
